"","date","R","t_end","lower","upper"
"119",2020-12-13,1.30612735150049,134,1.17811010779154,1.44695904043735
"120",2020-12-14,1.32590141583265,135,1.1981017497107,1.47532220320342
"121",2020-12-15,1.34566865773105,136,1.21432850263212,1.49218555272213
"122",2020-12-16,1.3584177809178,137,1.22881878294388,1.50082614787555
"123",2020-12-17,1.36563993037828,138,1.23858487743095,1.50857113573533
"124",2020-12-18,1.3686924704396,139,1.23772239658048,1.51845224814896
"125",2020-12-19,1.36920497636334,140,1.23778485670321,1.51874702189895
"126",2020-12-20,1.36699952361581,141,1.23533235502037,1.5115671271248
"127",2020-12-21,1.36725801034576,142,1.23756218674727,1.51163477638926
"128",2020-12-22,1.36634487190762,143,1.23168060502097,1.51138854122203
"129",2020-12-23,1.36111665877956,144,1.22732561511976,1.50845781705133
"130",2020-12-24,1.35305226582829,145,1.21797586830926,1.49946085071399
"131",2020-12-25,1.33941087101367,146,1.20237820338886,1.4888000947972
"132",2020-12-26,1.32495331638395,147,1.18991247582557,1.47009480944188
"133",2020-12-27,1.31444239641624,148,1.18931951189917,1.46049405335748
"134",2020-12-28,1.31126915062921,149,1.1870893595862,1.45578283940954
"135",2020-12-29,1.31638806463969,150,1.1891852070527,1.46320805444824
"136",2020-12-30,1.32321916267849,151,1.19523084192433,1.47702107221725
"137",2020-12-31,1.33762538369517,152,1.20945175076046,1.48866269659025
"138",2021-01-01,1.36664111369906,153,1.2418153507052,1.52082031277323
"139",2021-01-02,1.39732752369507,154,1.26859184978871,1.5495098617517
"140",2021-01-03,1.42554962229248,155,1.29019358692638,1.57343993355072
"141",2021-01-04,1.43406221302495,156,1.29506561284731,1.58088369153027
"142",2021-01-05,1.4319950752353,157,1.29077933905428,1.57905246034559
"143",2021-01-06,1.42072391679646,158,1.27812791797955,1.5678721696199
"144",2021-01-07,1.40635757246717,159,1.2666913858669,1.55453758220375
"145",2021-01-08,1.3968771803535,160,1.25610014691291,1.54567494069085
