"","date","R","lower","upper"
"108",2020-11-25,1.16686308831336,0.999454928040915,1.35984073530241
"109",2020-11-26,1.16064695078801,0.990543947450955,1.34937071643093
"110",2020-11-27,1.16315151764827,0.989466543363911,1.35142386241127
"111",2020-11-28,1.16766524513648,1.00057519723348,1.36135046864763
"112",2020-11-29,1.17766837920113,1.01150678655995,1.37418068744574
"113",2020-11-30,1.19023004552722,1.02420328985189,1.39350394539819
"114",2020-12-01,1.21085320549506,1.04580442500021,1.42135635325209
"115",2020-12-02,1.23015385907604,1.05596877577542,1.43681570380097
"116",2020-12-03,1.24001155300716,1.05984616989124,1.45044314229687
"117",2020-12-04,1.24773086410299,1.06190606432771,1.45818202469366
"118",2020-12-05,1.24907820603634,1.07137523494238,1.46554606833722
"119",2020-12-06,1.25279134451561,1.06580394934525,1.47328861232131
"120",2020-12-07,1.25237716701997,1.05911356009469,1.46268399651735
"121",2020-12-08,1.2430699392109,1.06085073437706,1.45453272752602
"122",2020-12-09,1.22906612213516,1.05233847058623,1.4345113451162
"123",2020-12-10,1.21639038086821,1.04182858525109,1.42497537232928
"124",2020-12-11,1.20186624423345,1.03150219717934,1.41058432604578
"125",2020-12-12,1.18600065473731,1.01410715202966,1.39039909715645
"126",2020-12-13,1.17280944399526,1.00363862708681,1.36604892106892
"127",2020-12-14,1.16620486078757,0.994110633952072,1.35916063488292
"128",2020-12-15,1.16533953318398,0.994489626859958,1.34459527810147
"129",2020-12-16,1.16746845971849,0.997681461725748,1.35332062644118
"130",2020-12-17,1.17710567333695,1.00026682356554,1.36668545697948
"131",2020-12-18,1.18586912276865,1.01640123352362,1.38685062375402
"132",2020-12-19,1.20377897815328,1.02871489192154,1.40710774138492
"133",2020-12-20,1.21508822772026,1.04062500149762,1.4181056943283
"134",2020-12-21,1.22509947364718,1.05031976611558,1.43022379701334
"135",2020-12-22,1.22874647719334,1.04554949154586,1.43755082970651
"136",2020-12-23,1.23055799582663,1.04817279819481,1.44366317570582
"137",2020-12-24,1.22206027323393,1.04127362791473,1.42273179718162
"138",2020-12-25,1.2031808184564,1.02080525687604,1.41026050603144
"139",2020-12-26,1.18254510679457,1.00939413014846,1.38164379931354
"140",2020-12-27,1.17382066919046,1.00095835188616,1.38125514817862
"141",2020-12-28,1.1904553269233,1.0187198883149,1.3991903605522
"142",2020-12-29,1.2187385816933,1.03963248274034,1.42780276970599
"143",2020-12-30,1.24828625950974,1.06626999834179,1.45546459138119
"144",2020-12-31,1.28257473078444,1.0964822573069,1.4985959083543
"145",2021-01-01,1.33177684798847,1.13733960494788,1.56289829710167
"146",2021-01-02,1.40414344964872,1.19509970166173,1.6436620053121
"147",2021-01-03,1.47234797998288,1.25742898499226,1.71687969786773
"148",2021-01-04,1.52129409468094,1.29587341536402,1.77968336057114
"149",2021-01-05,1.54171953165711,1.30649477309116,1.80156828746356
"150",2021-01-06,1.54103240499024,1.31785441383073,1.80613387227481
"151",2021-01-07,1.53121192838149,1.30921150586105,1.78422071897851
"152",2021-01-08,1.51668483389692,1.30499741603783,1.76793075902415
"153",2021-01-09,1.48820451511036,1.27434743543878,1.72851246845743
"154",2021-01-10,1.43798722007703,1.22981873389998,1.67116808250641
"155",2021-01-11,1.37366867994601,1.17567748513864,1.60003969046779
"156",2021-01-12,1.30827895427518,1.11639976231649,1.53139173437931
"157",2021-01-13,1.24466907413586,1.06974280483921,1.45926290250767
"158",2021-01-14,1.18942077912395,1.01723206395208,1.40414907867708
"159",2021-01-15,1.12940984598871,0.967119537944789,1.325553328785
"160",2021-01-16,1.06606640825381,0.913287461860153,1.24549990085389
"161",2021-01-17,1.00851353614393,0.860477735366984,1.18411558692645
"162",2021-01-18,0.95247434922874,0.813341106388545,1.11280806152936
"163",2021-01-19,0.905121086601412,0.774377924905533,1.05083339937634
"164",2021-01-20,0.862825816063088,0.735433784634533,1.00667445148502
"165",2021-01-21,0.828623567934518,0.701148781847469,0.968631464999951
"166",2021-01-22,0.795351176763992,0.67590319172833,0.936483831476841
"167",2021-01-23,0.765443841654123,0.654136815148031,0.901504475844295
"168",2021-01-24,0.738605871040694,0.629649047713943,0.865031875674808
"169",2021-01-25,0.71269814348778,0.609941505989806,0.835998659188068
"170",2021-01-26,0.694343098009243,0.59288464040493,0.807948345327234
"171",2021-01-27,0.673458526982205,0.576476935519584,0.782047863069736
"172",2021-01-28,0.657421653210516,0.561752719630426,0.766133364649324
"173",2021-01-29,0.641008939144494,0.54955441156201,0.744306765687077
"174",2021-01-30,0.632754491467964,0.542405347991145,0.7300233395377
"175",2021-01-31,0.623528936833498,0.533140846786319,0.725751451443787
"176",2021-02-01,0.61473339070442,0.524963625173457,0.717976975490029
"177",2021-02-02,0.600693219205775,0.514972912507129,0.705931959925625
"178",2021-02-03,0.592287285262603,0.504627900220911,0.693841561421102
"179",2021-02-04,0.586861301863782,0.504770462095947,0.685157431601438
"180",2021-02-05,0.584303406371705,0.501887557050569,0.677506035024483
"181",2021-02-06,0.581798676449467,0.50199216041634,0.676128945664787
"182",2021-02-07,0.58067500594629,0.502108906399012,0.676927724046485
"183",2021-02-08,0.5771578507614,0.497369746166127,0.671257530367344
"184",2021-02-09,0.578042905715793,0.494236176558002,0.672184349186821
"185",2021-02-10,0.588260666272107,0.501792509728643,0.685413902909029
"186",2021-02-11,0.593637656352788,0.508563032104326,0.695143971321342
"187",2021-02-12,0.599208871249943,0.514285055019205,0.698164657489137
"188",2021-02-13,0.600420595186509,0.515447319429238,0.699884002412469
"189",2021-02-14,0.59803736579855,0.513537299823259,0.697360605498828
"190",2021-02-15,0.59699646450167,0.513525220927722,0.698596633177313
"191",2021-02-16,0.611206977319734,0.522836010881777,0.710549514743548
"192",2021-02-17,0.628567506947538,0.541383198944677,0.731336400019017
"193",2021-02-18,0.647524247768904,0.555397042198869,0.755102897135689
"194",2021-02-19,0.671599391468576,0.579116403338169,0.788581238284501
"195",2021-02-20,0.69804265878088,0.601152765943196,0.81457003012561
"196",2021-02-21,0.730507171871886,0.627260385813563,0.852470991845175
"197",2021-02-22,0.771185976199943,0.658848147716204,0.901475637302138
"198",2021-02-23,0.810359411627958,0.693705665703936,0.947131465927733
"199",2021-02-24,0.842334128768117,0.724756318328021,0.990772454191912
"200",2021-02-25,0.87624150281176,0.747112005537706,1.02690983279212
"201",2021-02-26,0.906384693820798,0.774074005594159,1.06281673943001
"202",2021-02-27,0.929445144198484,0.800611419126097,1.090193393557
"203",2021-02-28,0.949256023386926,0.811647763749453,1.10798473561653
"204",2021-03-01,0.967450369624261,0.826743443660622,1.12975425821471
"205",2021-03-02,0.977283313176754,0.832649487002193,1.14069252642429
"206",2021-03-03,0.979646638879397,0.837368321133328,1.14673029681708
"207",2021-03-04,0.98206404842768,0.845174138801528,1.15001095284539
"208",2021-03-05,0.986595299067672,0.844899821021284,1.15894820827235
"209",2021-03-06,0.994520302713587,0.852620218017656,1.1668643170817
"210",2021-03-07,1.01978868112425,0.877635523890763,1.1998155708158
"211",2021-03-08,1.052460105044,0.900815763482062,1.23118191263744
"212",2021-03-09,1.08032689982893,0.926613963117389,1.27089009894701
"213",2021-03-10,1.10913594650668,0.951121433821139,1.30619006863027
"214",2021-03-11,1.14180695939654,0.980155336143057,1.33369941681701
"215",2021-03-12,1.17311470703126,1.00383360132547,1.36856431117867
"216",2021-03-13,1.2092736688409,1.03172340166951,1.40247424361386
"217",2021-03-14,1.23232929034112,1.05834951698602,1.44247200178604
"218",2021-03-15,1.24669933313542,1.07025026234561,1.4590653613269
"219",2021-03-16,1.25112635518149,1.07249723551773,1.47482566770542
"220",2021-03-17,1.26391182464157,1.08881938637113,1.48635102366029
"221",2021-03-18,1.2817598882922,1.10294692260563,1.51287830616525
"222",2021-03-19,1.30094113240198,1.11501927043527,1.52781289802036
"223",2021-03-20,1.31915440837661,1.12385273067192,1.54692337108902
